datas,codigo,tipo,simbolo,compra,venda
20/01/2025,220,A,USD,6.0492,6.0498
21/01/2025,220,A,USD,6.0434,6.044
22/01/2025,220,A,USD,5.9668,5.9674
23/01/2025,220,A,USD,5.9393,5.9399
24/01/2025,220,A,USD,5.8919,5.8925
27/01/2025,220,A,USD,5.9266,5.9272
28/01/2025,220,A,USD,5.8924,5.893
29/01/2025,220,A,USD,5.859,5.8596
30/01/2025,220,A,USD,5.9,5.9006
31/01/2025,220,A,USD,5.8295,5.8301
03/02/2025,220,A,USD,5.8681,5.8687
04/02/2025,220,A,USD,5.7921,5.7927
05/02/2025,220,A,USD,5.7991,5.7997
06/02/2025,220,A,USD,5.785,5.7856
07/02/2025,220,A,USD,5.7551,5.7557
10/02/2025,220,A,USD,5.7802,5.7808
11/02/2025,220,A,USD,5.7782,5.7788
12/02/2025,220,A,USD,5.7705,5.7711
13/02/2025,220,A,USD,5.7782,5.7788
14/02/2025,220,A,USD,5.7277,5.7283
17/02/2025,220,A,USD,5.7099,5.7105
18/02/2025,220,A,USD,5.6973,5.6979
19/02/2025,220,A,USD,5.7081,5.7087
